Countries,Socio-Economic Development(PC1),Social Stress(PC2),Urban & Demographic Pressure(PC3),Violence vs Distress(PC4),Employment–Health Trade-off(PC5)
Nigeria,-2.9939989056453014,-0.8905104754043827,-0.030672013043560337,0.6152881253395343,-1.407058859287546
São Tomé and Príncipe,-1.2866934078501013,-1.3056215189484897,0.20045573781534856,0.024484511790664625,0.6670876283061485
Lesotho,-3.3326670851443847,3.2638945302453934,1.4193060965746918,0.19631946118075147,-2.2225226202405906
Cambodia,-0.7430025633613407,-1.5415716479635209,-0.24762111991632144,-0.5074104850357812,-0.42722209082908447
Nepal,-1.150510990854202,-0.28590896949600514,0.7000200946510653,-0.658139695307538,0.07890964782178782
Kenya,-1.6743006934031122,-1.1357583377578764,-0.01547766892907376,-0.29153321494433837,-0.32154981736562677
Malawi,-1.1727948210767654,-0.965402592163346,0.20284550379965993,-0.576308011542987,-0.4401649595754456
Maldives,0.7685441202334355,-1.8008107404216365,1.009777050219213,0.8297044613461904,0.3492178928786089
Uganda,-1.213192351379046,-1.0278304716405964,-0.11388644000208817,-0.0002816915430574457,-0.5652178026239043
Bahrain,1.314068305421176,-1.727461538744038,1.2078157751870844,0.7275591261631273,-0.2676153334176861
Sierra Leone,-1.6354055375601557,-1.271922810527412,-0.06243975555013684,-0.5895268137798856,-0.7390575398511187
Nicaragua,-0.7660660578442311,-0.767759773488383,-0.29397532340576976,0.2215741929399563,0.06757163718267607
Guinea-Bissau,-1.3202258154941433,-1.1034682974351464,-0.08717368098116135,-0.746708616581133,-0.7847242880652764
Egypt,-0.9144490421071892,-1.38356247339265,-0.18804991942608462,-0.07631553149236159,0.6405228362059078
Pakistan,-1.1580470462704862,-0.9597020954857599,0.0030421141539920464,-0.1667082712383413,-0.27583095145940784
Saudi Arabia,0.5349398279664592,-1.2574927636154012,-0.2648016093842395,-0.12532300989790762,0.9128794031496109
Botswana,-1.9160579206812194,0.9249899475760235,0.9092780165405956,0.14307652906700014,1.3477184478072517
Bosnia and Herzegovina,-0.2039318519603943,-0.10112580347040462,0.3587135665116235,-0.5384307540149949,0.6421759030292533
Dominican Republic,-0.6534376494823396,-0.5919270012748616,-0.20456054412759278,0.4899623814590845,0.07326580085255117
Thailand,0.16855538537583659,0.11702556810003577,0.09978851045897463,-0.9146512348687966,-1.1934014438439118
Tanzania,-1.079300250870992,-1.12835932544163,-0.426851525991991,-0.30233443025483364,-0.4849107913879714
Zambia,-1.3059830926108724,-0.6155958110082932,-0.19314016722918448,-0.31992742377663086,-0.3577013408488771
Uzbekistan,-0.491130351339799,-0.6565828989199619,-0.14547488057660737,-0.5683514151552869,-0.24903954002037929
Tajikistan,-0.9959935261370308,-0.8109182828217615,-0.044974422725229286,-0.10472799329785608,0.9354509443403112
Vietnam,-0.07624816868164681,-0.9739633041268618,-0.2574747680383308,-0.36806878046263225,-0.4404763253222794
Iraq,-1.24242877653132,-0.08787767059834647,0.09306463563811317,0.49785788694231764,1.158782766077789
Indonesia,-0.5462188838790091,-1.4927632260449417,-0.5818969703575096,-0.10310208875442639,0.1780799371473158
Georgia,-0.5090787983246533,-0.3424442958494772,0.00648318788383253,-0.15034727412374574,0.8693594771634466
Croatia,0.7250439217548379,0.4320447398893074,0.27916270854716524,-0.9670260064796241,-0.32289111812810717
Moldova,-0.2131504044160181,-0.14147572878673997,-0.14524874298687396,-0.8711988831831348,-1.1111936149322639
Armenia,-0.5303158835958466,-0.4699825163159275,-0.02419606232143677,0.11254803081522126,1.2985314776457937
Turkmenistan,-0.49733115315284215,-0.7257497295990287,-0.36210140317265666,-0.47567960072768434,-0.17967639001218444
Latvia,0.36177895228291984,0.5379467443862059,0.2607081423879661,-0.8360053742140393,-0.2762732875104433
Mauritania,-1.1506225666151975,-0.7951736679039803,-0.2801624807183017,-0.13844062463549717,0.6481414122603091
Vanuatu,-0.3565160259751372,0.20408581074281443,0.058732211864319685,-1.087489681817961,-0.8396343215968165
Malta,2.0073652515250666,-0.9260541583969405,0.8575801244632475,0.68034995913501,0.06989865449030057
Sri Lanka,0.19187971165144127,0.21112840106576114,0.19039501851832363,-0.5609277796958928,-0.6422503329110744
South Africa,-3.265953694916448,4.54098732874732,1.4964259714931116,1.6768328848905758,0.3300111178565284
Liberia,-1.3697732054323184,-0.9703360073156161,-0.5927136391606641,-0.3407114549330304,-0.7662691703972818
Mongolia,-0.3750735635407207,0.7861243377293391,0.12242823630578843,-0.9167703227562828,-1.1065008503464184
Chile,0.3113199302193364,0.1336983416209754,-0.14530434734165823,0.005882208388093183,0.700272851520965
Panama,0.12271180103024425,-0.31568971247035105,-0.537152233902868,0.5866316928890255,0.650766396140669
Uruguay,0.38118392201168966,2.0464547416246455,0.6447933984477484,-0.8774862705028142,-1.0051110513863244
Cyprus,1.1481835520927597,-0.6708721594913414,-0.2885580580990066,0.04240261250089968,1.0303877278008682
Bolivia,-0.7868490180260923,-0.943797127550418,-0.7471947330736239,-0.08666185482597595,-0.2678099301023887
Philippines,-0.5488079804908559,-1.1695713587874903,-0.5863594565174967,0.18688938421030687,-0.3660565986525526
Qatar,2.1308013041773424,-0.7508353489743306,-0.24282782730276317,-0.0899213487736758,0.5663531907572771
Ghana,-0.9442179286996771,-1.020739216829356,-0.5902454148178617,-0.25805752469102106,-0.5289511507092829
Mauritius,0.19727101197888935,-0.2433988097246649,0.18215893778769512,-0.15623199570684732,-0.3600138642488796
Brazil,-0.5813119633596847,0.4563487912006403,-0.5012816111384025,0.7746945692425202,-2.5772853576664303e-05
Portugal,1.12664508941449,0.23872939537402071,0.0376263522125235,-0.5248846292674014,0.3441825085289339
Peru,-0.0910668695327348,-0.768519322878378,-0.8514551969994529,0.49118146132989243,0.5223128642144825
Malaysia,0.2874340969525793,-0.7131097053982596,-0.5282116710535989,-0.23967718378115135,0.16826750556174466
Spain,1.1126823707146876,0.3652839888860646,0.19725051043738298,-0.250060228710611,1.2066488659054482
Costa Rica,0.1326525353432159,0.5919951033736557,-0.4030700867220844,0.7729252696708754,0.28132446650346155
Serbia,0.3253172269723828,0.5589242319948354,0.10578388300444995,-0.7829584476566505,-0.25824671730222754
Montenegro,-0.014554215898928862,0.6240955632298292,0.276038088132761,-0.4779501361787308,0.7752101766465493
Kazakhstan,0.15940461898389927,0.376076393291533,-0.15458716396821304,-0.7656216595817633,-0.5967673620233587
